"","Model","Price","Manufacturer","Year","Count"
"156","4runner Sport Edition 2wd",9949,"Toyota",2008,1
"157","4runner Sport Edition 4wd",9367.5,"Toyota",2004,10
"158","4runner Sr 5 Sport",19999,"Toyota",2012,1
"159","4runner Sr5",13718.0602409639,"Toyota",2018,83
"160","4runner Sr5 2wd",12845,"Toyota",2011,2
"161","4runner Sr5 3rd Gen 4wd",9950,"Toyota",2000,1
"162","4runner Sr5 4wd",9837.09090909091,"Toyota",2001,11
"163","4runner Sr5 4wd 4x4",6000,"Toyota",1999,1
"164","4runner Sr5 4wd 5-Speed Automatic",19950,"Toyota",2010,1
"165","4runner Sr5 4wd Premium",36900,"Toyota",2018,1
"166","4runner Sr5 4wd V8",5000,"Toyota",2003,1
"167","4runner Sr5 4x4",12317.4666666667,"Toyota",2011,15
"168","4runner Sr5 4x4 Gas Suv",36089.9090909091,"Toyota",2019,22
"169","4runner Sr5 Automatic",22500,"Toyota",2012,2
"170","4runner Sr5 Night",46980,"Toyota",2019,2
"171","4runner Sr5 Premium",39594,"Toyota",2018,3
"172","4runner Sr5 Premium 4x4",44999,"Toyota",2019,29
"173","4runner Sr5 Premium Lifte",36900,"Toyota",2017,3
"174","4runner Sr5 Sport",10199,"Toyota",2006,2
"175","4runner Sr5 Sport 2wd",12900,"Toyota",2008,2
"176","4runner Sr5 Sport Utilit",10800,"Toyota",2006,1
"177","4runner Sr5 Sport Utility",31510,"Toyota",2017,5
"178","4runner Sr5 Trd Offroad",49999,"Toyota",2020,3
"179","4runner Sr5 V6",18995,"Toyota",2010,2
"180","4runner Sr5 V8",11985,"Toyota",2006,1
"181","4runner Trail",25997,"Toyota",2011,12
"182","4runner Trail Premium",35995,"Toyota",2016,1
"183","4runner Trd Off Road 4wd (Natl)",36999,"Toyota",2018,1
"184","4runner Trd Off Road 4x4",43239,"Toyota",2020,25
"185","4runner Trd Off Road Pre",477,"Toyota",2017,1
"186","4runner Trd Pro",45926.3636363636,"Toyota",2019,11
"187","4runner Trd Pro 4x4 Gas",53570.4285714286,"Toyota",2018,7
"188","4runner Xsp",14850,"Toyota",2009,1
"189","4runners",5900,"Toyota",1999,1
"190","4wd Trucks",13480,"Toyota",1990,2
"191","4x4 Pickup",24995,"Toyota",1984,2
"192","4x4 Pickup Truck",4700,"Nissan",1996,2
"193","4x4 Truck",2500,"Toyota",1986,2
"194","5",4849.85185185185,"Mazda",2009,54
"195","5 Grand Touring",6900,"Mazda",2010,1
"196","5 Sport",4326,"Mazda",2006,8
"197","5 Sport Minivan",8783.75,"Mazda",2013,8
"198","5 Sport Wagon",8999,"Mazda",2015,1
"199","5 Wagon Touring",6000,"Mazda",2008,1
"200","6",6282.14569536424,"Mazda",2004,151
"201","6 5spd Manual V6",3982.5,"Mazda",2007,2
"202","6 Grand Touring",10416.6666666667,"Mazda",2014,3
"203","6 Hatchback2.3",1800,"Mazda",2004,1
"204","6 I Grand Touring",12425,"Mazda",2014,4
"205","6 I Sport",2999.16666666667,"Mazda",2007,6
"206","6 I Touring",6160,"Mazda",2012,2
"207","6 S Grand Touring",4300,"Mazda",2010,1
"208","6 Sport Wagon",3750,"Mazda",2005,1
"209","6 Touring",8752.4,"Mazda",2010,5
"210","6 Touring Fwd Gas Sedan",16999,"Mazda",2016,1
"211","6 Touring Plus",15980,"Mazda",2015,2
"212","6 V6",4000,"Mazda",2006,1
"213","626",2352,"Mazda",1999,10
"214","626 Es",1475,"Mazda",2001,2
"215","626 Lx",2127.8,"Mazda",1999,5
"216","6i",3999,"Mazda",2004,1
"217","6i Grand Touring",13495,"Mazda",2016,1
"218","6i Sport",5770,"Mazda",2012,4
"219","6i Touring",7555,"Mazda",2009,3
"220","6s Grand Touring Hatchback",3475,"Mazda",2008,2
"221","720",4000,"Datsun",1981,1
"222","720 Truck",1800,"Nissan",1982,2
"223","86",25126.8,"Toyota",2019,5
"224","86 Coupe 2d",19000,"Toyota",2017,1
"225","Acc",13995,"Honda",2014,1
"226","Accor",4999,"Honda",2008,1
"227","Accord",9808.10842726785,"Honda",2012,1863
"228","Accord 2-Door Coupe",7199.90909090909,"Honda",1997,11
"229","Accord 2-Door Coupe Exl",4995,"Honda",2004,1
"230","Accord 2007",4495,"Toyota",2007,2
"231","Accord 4-Door Exl",7995,"Honda",2009,1
"232","Accord 4-Door Sedan",8087.72222222222,"Honda",2009,36
"233","Accord 4-Door Sedan 2.4",4700,"Honda",2009,1
"234","Accord 4-Door Sedan Se",3550,"Honda",2002,1
"235","Accord 4dr I4 Auto Lx-P",142,"Honda",2008,1
"236","Accord 4dr Sedan Auto Ex",8999,"Honda",2010,2
"237","Accord 4s",2800,"Honda",2004,1
"238","Accord Awd",5100,"Honda",2010,1
"239","Accord Coupe",9324.89285714286,"Honda",2013,28
"240","Accord Coupe Ex-L",9428.16666666667,"Honda",2012,6
"241","Accord Coupe Exl",21500,"Honda",2016,1
"242","Accord Coupe V6 Exl-Nav",17250,"Honda",2014,1
"243","Accord Cpe",8370.38461538462,"Honda",2012,13
"244","Accord Cpe Ex-L",11487,"Honda",2008,2
"245","Accord Crosstour",9262.57142857143,"Honda",2010,21
"246","Accord Crosstour 4wd 5dr Ex-L",12795,"Honda",2011,1
"247","Accord Crosstour Ex-L",9898.91666666667,"Honda",2013,12
"248","Accord Crosstour Ex-L Awd",9497,"Honda",2011,2
"249","Accord Crosstour Ex-L Spo",129,"Honda",2011,1
"250","Accord Crosstour Exl",10379.6666666667,"Honda",2010,3
"251","Accord El-X",5650,"Honda",2009,1
"252","Accord Ex",5505.01339285714,"Honda",2002,224
"253","Accord Ex-L",9805.46408839779,"Honda",2009,181
"254","Accord Ex-L / Leather / N",6425,"Honda",2006,4
"255","Accord Ex-L 1.5t",23719,"Honda",2018,1
"256","Accord Ex-L 271hp V6",8998,"Honda",2010,1
