"","Model","Price","Manufacturer","Year","Count"
"1128","Crv 4wd",8999,"Honda",2009,1
"1129","Crv 4x4",8070,"Honda",2009,6
"1130","Crv Awd",5168,"Honda",2004,10
"1131","Crv E-Xl Awd",19200,"Honda",2017,1
"1132","Crv Ex",11274.74,"Honda",2007,50
"1133","Crv Ex-L",11739.3720930233,"Honda",2017,43
"1134","Crv Ex-L 4x4 Gas Suv Auto",13999,"Honda",2010,1
"1135","Crv Ex-L Awd",12120.5555555556,"Honda",2009,9
"1136","Crv Ex-L Awd Gas Suv Auto",14999,"Honda",2015,4
"1137","Crv Ex-L Fwd",9995,"Honda",2009,2
"1138","Crv Ex-L Fwd Gas Suv Auto",16499,"Honda",2014,5
"1139","Crv Ex 4wd",6599.4,"Honda",2007,5
"1140","Crv Ex 4x4",7466.66666666667,"Honda",2003,3
"1141","Crv Ex Awd",7277.91666666667,"Honda",2011,24
"1142","Crv Exl",11639.2,"Honda",2009,10
"1143","Crv Exl 4wd",13469.75,"Honda",2018,4
"1144","Crv Exl 4x4",4994,"Honda",2010,1
"1145","Crv Exl Awd",11720,"Honda",2013,5
"1146","Crv Exl Suv",9300,"Honda",2010,1
"1147","Crv Lx",8100.45714285714,"Honda",2008,35
"1148","Crv Lx 4dr Suv",14900,"Honda",2015,1
"1149","Crv Lx Awd",9537.05882352941,"Honda",2012,17
"1150","Crv Se",5529.8,"Honda",2009,5
"1151","Crv Se 4x4",4500,"Honda",2006,1
"1152","Crv Se Awd",16999,"Honda",2016,1
"1153","Crv Touring",25631.6666666667,"Honda",2016,3
"1154","Crv Touring Awd",25900,"Honda",2018,3
"1155","Crv Touring Awd Gas Suv",29999,"Honda",2018,8
"1156","Crx Hf",2700,"Honda",1989,1
"1157","Crx Si",3970,"Honda",1989,5
"1158","Crz",7686.875,"Honda",2013,8
"1159","Ct",15912.96,"Lexus",2011,25
"1160","Ct 200",14750,"Lexus",2013,1
"1161","Ct 200h",13462.8275862069,"Lexus",2012,58
"1162","Ct 200h 4d Hatchback",16981,"Lexus",2013,4
"1163","Ct 200h Automatic",10900,"Lexus",2011,1
"1164","Ct 200h Hatchback 4d",16175.2857142857,"Lexus",2013,7
"1165","Ct 200h Hybrid",14332.625,"Lexus",2014,8
"1166","Ct 200h Hybrid Fwd Auto",12999,"Lexus",2011,1
"1167","Ct 200h Premium",9500,"Lexus",2012,2
"1168","Ct Ct 200h",274,"Lexus",2017,1
"1169","Ct Hybrid Premium",9777,"Lexus",2011,1
"1170","Ct200",8500,"Lexus",2015,2
"1171","Ct200 Premium",10300,"Lexus",2012,1
"1172","Ct200h",5862.52631578947,"Lexus",2013,19
"1173","Ct200h F Sport",23999,"Lexus",2015,1
"1174","Ct200h Hybrid",10995,"Lexus",2011,1
"1175","Cube",5397.45714285714,"Nissan",2009,35
"1176","Cube 1.8 S",7745,"Nissan",2012,2
"1177","Cube 1.8 Sl",5500,"Nissan",2013,1
"1178","Cube Krom",5472.5,"Nissan",2011,2
"1179","Cube S",5014,"Nissan",2014,7
"1180","Cube Sl",4958.16666666667,"Nissan",2011,6
"1181","Cuvic",8950,"Honda",2014,1
"1182","Cuvic Turbo",15950,"Honda",2016,1
"1183","Cv-R",9800,"Honda",2014,1
"1184","Cvcc",10000,"Honda",1979,1
"1185","Cvr",7495,"Honda",2007,1
"1186","Cx-3",16357.0294117647,"Mazda",2018,34
"1187","Cx-3 Grand Touring Awd",17825,"Mazda",2017,1
"1188","Cx-3 Grand Touring Sport",22790,"Mazda",2018,2
"1189","Cx-3 Sport Utility 4d",14213.25,"Mazda",2018,4
"1190","Cx-3 Sport*Sky Active* Ba",17337,"Mazda",2019,1
"1191","Cx-3 Touring",14568,"Mazda",2017,1
"1192","Cx-3 Touring Awd",10498,"Mazda",2016,2
"1193","Cx-3 Touring Heated Leathe",19992,"Mazda",2018,1
"1194","Cx-3 Touring Sport Utility",19278.8888888889,"Mazda",2019,9
"1195","Cx-30",25450.5,"Mazda",2020,2
"1196","Cx-5",17144.5473251029,"Mazda",2018,243
"1197","Cx-5 2016.5 Fwd 4dr Auto Touring",15595,"Mazda",2016,2
"1198","Cx-5 Awd Touring",12995,"Mazda",2015,1
"1199","Cx-5 Grand Select Sport",22290,"Mazda",2017,2
"1200","Cx-5 Grand Touring",16840.3125,"Mazda",2013,16
"1201","Cx-5 Grand Touring Automatic",17000,"Mazda",2015,1
"1202","Cx-5 Grand Touring Awd",19591.3333333333,"Mazda",2016,3
"1203","Cx-5 Grand Touring Fwd",28214,"Mazda",2019,1
"1204","Cx-5 Grand Touring Sport",18958.3870967742,"Mazda",2016,31
"1205","Cx-5 Grand Touring W/ Nav",14388,"Mazda",2014,1
"1206","Cx-5 Sport",15225,"Mazda",2015,2
"1207","Cx-5 Sport 4dr Suv 6m",9490,"Mazda",2013,1
"1208","Cx-5 Sport Awd",18314,"Mazda",2018,3
"1209","Cx-5 Sport Suv 4d",19858.5714285714,"Mazda",2017,14
"1210","Cx-5 Touring",16439.3181818182,"Mazda",2014,22
"1211","Cx-5 Touring Automatic",17835,"Mazda",2017,2
"1212","Cx-5 Touring Sport Utility",19630.7407407407,"Mazda",2016,54
"1213","Cx-7",6199,"Mazda",2008,92
"1214","Cx-7 Awd",181,"Mazda",2010,1
"1215","Cx-7 Grand Touring",6241.14285714286,"Mazda",2008,7
"1216","Cx-7 Grand Touring Awd",6830,"Mazda",2007,3
"1217","Cx-7 I Sport",5661.66666666667,"Mazda",2011,3
"1218","Cx-7 I Sv",7777,"Mazda",2010,1
"1219","Cx-7 S Grand Touring",7995,"Mazda",2010,3
"1220","Cx-7 Sport",5296.66666666667,"Mazda",2009,3
"1221","Cx-7 Sport Awd",7574.5,"Mazda",2011,2
"1222","Cx-7 Sv",6999,"Mazda",2010,1
"1223","Cx-7 Touring",7995,"Mazda",2011,1
"1224","Cx-9",10782.2361809045,"Mazda",2010,199
"1225","Cx-9 Awd Touring",6300,"Mazda",2010,1
"1226","Cx-9 Grand Tour",36500,"Mazda",2019,1
"1227","Cx-9 Grand Touring",12376.1428571429,"Mazda",2014,14
"1228","Cx-9 Grand Touring 4d",32981,"Mazda",2017,3
"1229","Cx-9 Grand Touring 4x4",7850,"Mazda",2007,1
"1230","Cx-9 Grand Touring Awd",9369.14285714286,"Mazda",2007,7
"1231","Cx-9 Grand Touring Awd 4d",7950,"Mazda",2007,1
"1232","Cx-9 Grand Touring Sport",14491.4285714286,"Mazda",2013,7
"1233","Cx-9 I Sport",9400,"Mazda",2015,1
"1234","Cx-9 Signature Sport",36990,"Mazda",2019,1
"1235","Cx-9 Sport",7494.66666666667,"Mazda",2012,3
"1236","Cx-9 Sport Awd",19000,"Mazda",2016,1
"1237","Cx-9 Touring",10637.2727272727,"Mazda",2015,11
"1238","Cx-9 Touring Awd",9995,"Mazda",2014,1
"1239","Cx-9 Touring Awd Luxury",34980,"Mazda",2019,4
"1240","Cx-9 Touring Awd Premium",32980,"Mazda",2019,3
"1241","Cx-9 Touring Ed. Awd/Nav",14250,"Mazda",2014,1
"1242","Cx-9 Touring Sport",8475,"Mazda",2009,1
"1243","Cx-9 Touring Sport Utility",18835.5555555556,"Mazda",2009,9
"1244","Cx 3",17998,"Mazda",2016,1
"1245","Cx 9",10332.3333333333,"Mazda",2015,3
"1246","Cx 9 Signature Awd",29500,"Mazda",2017,1
"1247","Cx3 Touring",19000,"Mazda",2016,1
"1248","Cx5",15993.5,"Mazda",2019,2
"1249","Cx5 Grand Touring",13564.1666666667,"Mazda",2015,6
"1250","Cx5 Grand Touring Awd Gas",21635.3636363636,"Mazda",2016,11
"1251","Cx5 Grand Touring Fwd Gas",24999,"Mazda",2019,3
"1252","Cx5 Grand Touring.",17400,"Mazda",2016,1
"1253","Cx5 Sport",5999,"Mazda",2013,1
"1254","Cx5 Touring",12500,"Mazda",2016,1
"1255","Cx500c",1900,"Honda",1981,1
"1256","Cx7",4511.35714285714,"Mazda",2011,14
"1257","Cx7 2.3 Turbo",7900,"Mazda",2012,1
"1258","Cx7 Grand Touring Awd",5764.83333333333,"Mazda",2008,6
"1259","Cx7 Sport",7900,"Mazda",2008,1
"1260","Cx9",7966.66666666667,"Mazda",2010,3
"1261","Cx9 Grand Touring",7999,"Mazda",2010,1
"1262","Cx9 Luxury Touring Ed.",14250,"Mazda",2014,1
"1263","Cx9 Sport Awd",8500,"Mazda",2011,1
"1264","Cx9 Touring",6999,"Mazda",2011,1
"1265","Cx9 Touring Awd Gas Suv",24999,"Mazda",2018,6
"1266","D21",4800,"Nissan",1992,2
"1267","D21 Hardbody",2852.22222222222,"Nissan",1988,9
"1268","D21 Hardbody Pickup Truck",3999,"Nissan",1989,1
"1269","D21 Pickup",975,"Nissan",1987,1
"1270","D21 Shortbed Truck",1000,"Nissan",1987,1
"1271","Del Sol",6724.16666666667,"Honda",1993,6
"1272","Del Sol Si",3331.66666666667,"Honda",1993,3
"1273","Del Sole",4300,"Honda",1994,1
"1274","Delica",14362.6363636364,"Mitsubishi",1994,11
"1275","Delica L300",17000,"Mitsubishi",1994,1
"1276","Delica L300 Jb470",28999,"Mitsubishi",1995,1
"1277","Delica L300 Starwagon",20000,"Mitsubishi",1994,1
"1278","Delica L400",15750,"Mitsubishi",1994,2
"1279","Diamante",7995,"Mitsubishi",2004,2
"1280","Diamante Ls",2087.5,"Mitsubishi",2002,2
"1281","Diamante Ls Automatic",1400,"Mitsubishi",2003,1
"1282","Dl",1000,"Subaru",1972,1
"1283","Dolphin",7500,"Toyota",1992,1
"1284","E S 300",2200,"Lexus",2002,1
"1285","E300",5250,"Lexus",2003,1
"1286","E350",8995,"Ford",2002,2
"1287","Echo",2715.38888888889,"Toyota",2001,18
"1288","Echo 2d **Automatic",3450,"Toyota",2003,1
"1289","Echo 4 Door Sedan",3200,"Toyota",2000,1
"1290","Eclipse",4503.75294117647,"Mitsubishi",1998,85
"1291","Eclipse 2d Coupe Gts",4421,"Mitsubishi",2005,1
"1292","Eclipse Coupe Gs",5950,"Mitsubishi",2003,1
"1293","Eclipse Cross",17400.4666666667,"Mitsubishi",2018,15
"1294","Eclipse Cross Es",20001.6875,"Mitsubishi",2020,16
"1295","Eclipse Cross Es Fwd",16605.6666666667,"Mitsubishi",2018,3
"1296","Eclipse Cross Es*Awd",18337,"Mitsubishi",2019,1
"1297","Eclipse Cross Le",22467.3636363636,"Mitsubishi",2020,11
"1298","Eclipse Cross Le S-Awc",17995,"Mitsubishi",2018,1
"1299","Eclipse Cross Se",24833.125,"Mitsubishi",2020,8
"1300","Eclipse Cross Sel",32388.1818181818,"Mitsubishi",2020,11
"1301","Eclipse Cross Sp",16947.5,"Mitsubishi",2019,4
"1302","Eclipse Es 4x4 Gas",22999,"Mitsubishi",2020,4
"1303","Eclipse Gs",4080.66666666667,"Mitsubishi",2007,6
"1304","Eclipse Gs Sport",3995,"Mitsubishi",2011,11
"1305","Eclipse Gs Spyder",5300,"Mitsubishi",2011,1
"1306","Eclipse Gt",6398.6,"Mitsubishi",2002,5
"1307","Eclipse Gt 3.0l V6",1250,"Mitsubishi",2002,1
"1308","Eclipse Gt Spyder",2500,"Mitsubishi",2001,1
"1309","Eclipse Gts",3600,"Mitsubishi",2003,2
"1310","Eclipse Gts 73,000",5899,"Mitsubishi",2003,5
"1311","Eclipse Rs",4000,"Mitsubishi",1999,1
"1312","Eclipse S 4x4 Gas Suv",16761,"Mitsubishi",2019,9
"1313","Eclipse Se",4672.5,"Mitsubishi",2007,4
"1314","Eclipse Spyder",4583.33333333333,"Mitsubishi",2012,6
"1315","Eclipse Spyder Gs",6065.38461538462,"Mitsubishi",2007,13
"1316","Eclipse Spyder Gt Cv",5995,"Mitsubishi",2007,2
"1317","Eclipse Spyder Gts",3500,"Mitsubishi",2003,1
"1318","Efi Pickup",1500,"Toyota",1987,1
"1319","El Premium",2950,"Acura",2005,1
"1320","El5",8000,"Toyota",1992,1
"1321","Elantra Gls",999,"Hyundai",2010,1
"1322","Element",7173.52892561983,"Honda",2006,121
"1323","Element -- Ex -- 4wd",17625,"Honda",2010,1
"1324","Element 4wd",7450,"Honda",2008,1
"1325","Element 4wd Ex At",7995,"Honda",2005,2
"1326","Element Awd",4900,"Honda",2006,1
"1327","Element Ex",7559.76470588235,"Honda",2010,17
"1328","Element Ex-P",10995,"Honda",2006,1
"1329","Element Ex 4wd",8950,"Honda",2011,1
"1330","Element Ex 4x4",5999,"Honda",2004,1
"1331","Element Ex Awd",5915.29166666667,"Honda",2003,24
"1332","Element Ex Sport Utility 4d",6495,"Honda",2003,2
"1333","Element Ex Suv / All Wheel Drive / Moon Roof / Low Miles",10990,"Honda",2005,1
"1334","Element Ex Suv / Awd / Sun Roof / 1-Owner / Low Miles !!",14990,"Honda",2007,1
"1335","Element Lx",3915,"Honda",2004,3
"1336","Element Lx 2wd At",10999,"Honda",2011,1
"1337","Element Lx 4x4",7800,"Honda",2005,1
"1338","Element Sc",8298,"Honda",2007,3
"1339","Endeaver Ls",5500,"Mitsubishi",2011,1
"1340","Endeavor",4621.17647058824,"Mitsubishi",2004,34
"1341","Endeavor Awd",2800,"Mitsubishi",2004,1
"1342","Endeavor Ls",5125,"Mitsubishi",2008,2
"1343","Endeavor Ls 2wd",6599,"Mitsubishi",2010,1
"1344","Endeavor Se",5461,"Mitsubishi",2007,2
"1345","Endeavor Xls",2000,"Mitsubishi",2006,1
"1346","Endeavors",2999,"Mitsubishi",2004,1
"1347","Endeavour",1000,"Mitsubishi",2004,1
"1348","Es",15866.7032967033,"Lexus",2007,91
"1349","Es-300",3200,"Lexus",2003,1
"1350","Es-330",7000,"Lexus",2006,1
"1351","Es-350",21500,"Lexus",2015,1
"1352","Es 300",4101.63768115942,"Lexus",2001,69
"1353","Es 300 Es300 Sedan",3995,"Lexus",1999,2
"1354","Es 300 Hybrid",13069.5,"Lexus",2013,4
"1355","Es 300h",10892,"Lexus",2013,14
"1356","Es 300h Hybrid",8845,"Lexus",2013,2
"1357","Es 300h Sedan 4d",18956.6666666667,"Lexus",2013,6
"1358","Es 330",6011,"Lexus",2004,54
"1359","Es 330 Sedan",6064.66666666667,"Lexus",2005,3
"1360","Es 350",13907.2971698113,"Lexus",2018,212
"1361","Es 350 4dr Sdn",13034.1818181818,"Lexus",2013,11
"1362","Es 350 Base",10373.125,"Lexus",2010,8
"1363","Es 350 Fwd Automatic",38234,"Lexus",2019,1
"1364","Es 350 Navigation/Camera",8999,"Lexus",2007,1
"1365","Es 350 Premium",7995,"Lexus",2009,1
"1366","Es 350 Sedan",16991.5,"Lexus",2006,2
"1367","Es 350 Sedan 4d",14875.5675675676,"Lexus",2013,37
"1368","Es Es 350",467,"Lexus",2018,1
"1369","Es Es 350 Sedan 4d",9753,"Lexus",2010,2
"1370","Es300",3826.57142857143,"Lexus",2000,28
"1371","Es300h",17772,"Lexus",2013,4
"1372","Es330",6132.84210526316,"Lexus",2004,19
"1373","Es330 Diamond Edition",6500,"Lexus",2006,1
"1374","Es330 Luxury Premium",9995,"Lexus",2010,2
"1375","Es350",14463.6,"Lexus",2012,35
"1376","Es350 4-Door Sedan",19000,"Lexus",2014,1
"1377","Es350 Hybrid",22500,"Lexus",2016,1
"1378","Es350 Se",21496,"Lexus",2015,1
"1379","Es350. One Owner",9700,"Lexus",2011,1
"1380","Estima Rhd",8395,"Toyota",1995,1
"1381","Evo 8",23000,"Mitsubishi",2003,1
"1382","Ex",10645.8333333333,"Infiniti",2010,6
"1383","Ex 35",5277,"Infiniti",2008,1
"1384","Ex Ex37 Sport Utility",15990,"Infiniti",2013,4
"1385","Ex L Accord-1-Owner 32k!",11432,"Honda",2008,1
"1386","Ex35",9816.66666666667,"Infiniti",2008,9
"1387","Ex35 Awd",8445,"Infiniti",2008,1
"1388","Ex35 Base",9500,"Infiniti",2008,1
"1389","Ex35 Journey",9377.71428571429,"Infiniti",2008,7
"1390","Ex37",10995,"Infiniti",2013,12
"1391","Ex37 Awd",12990,"Infiniti",2013,1
"1392","Ex37 Journey Sport",16000,"Infiniti",2013,1
"1393","Extera 4x4 Le",4200,"Nissan",2006,1
"1394","Exterra",4148.5,"Nissan",2004,4
"1395","Exterra 4x4",5500,"Nissan",2005,2
"1396","Fe-160 Cab N Chassis 16 Foot Rails",14995,"Mitsubishi",2013,1
"1397","Fe-180",13245,"Mitsubishi",2008,2
"1398","Fe130",24500,"Mitsubishi",2016,1
"1399","Fe145",10800,"Mitsubishi",2010,1
"1400","Fe180",23900,"Mitsubishi",2012,1
"1401","Fe6",1995,"Mitsubishi",1998,1
"1402","Figaro",17000,"Nissan",1991,1
"1403","Fit",8316.36900369004,"Honda",2015,271
"1404","Fit 5-Speed At",7495,"Honda",2013,2
"1405","Fit 5dr Hb Auto Sport",145,"Honda",2009,1
"1406","Fit 5dr Hb Man Sport",5490,"Honda",2010,1
"1407","Fit 5m Bad Credit Ok One Owner",9595,"Honda",2013,2
"1408","Fit 5spd",8900,"Honda",2012,1
"1409","Fit Base",6756.28571428571,"Honda",2013,7
"1410","Fit Ex",11669.3181818182,"Honda",2015,22
"1411","Fit Ex-L",14375,"Honda",2016,2
"1412","Fit Ex Fwd Gas Hatchback",13999,"Honda",2015,6
"1413","Fit Ex Hatchback",10747,"Honda",2015,6
"1414","Fit Ex Hatchback 4d",14628.3333333333,"Honda",2016,6
"1415","Fit Ex Only 11k Miles",7999,"Honda",2018,1
"1416","Fit Exl",10990,"Honda",2016,1
"1417","Fit Hatchback",5559,"Honda",2010,5
"1418","Fit Hatchback 4d",7919.66666666667,"Honda",2013,3
"1419","Fit Lx",9284.65217391304,"Honda",2017,23
"1420","Fit Lx 4 Door",13000,"Honda",2017,2
"1421","Fit Lx Hatchback 4d",14554.4285714286,"Honda",2017,14
"1422","Fit Rs Hatchback",5950,"Honda",2009,6
"1423","Fit S",6999,"Honda",2009,1
"1424","Fit Sport",6748,"Honda",2013,66
"1425","Fit Sport Automatic",3400,"Honda",2008,1
"1426","Fit Sport Hatchback",8376.18181818182,"Honda",2019,11
"1427","Fit Sport Hatchback 4d",11591.0833333333,"Honda",2013,12
"1428","Fit Sport Manual Manual",11101,"Honda",2018,1
"1429","Fit Sport W/ Navi",5250,"Honda",2011,1
"1430","Fit Sport W/Navi",8250,"Honda",2013,3
"1431","Fit, Base",3900,"Honda",2009,1
"1432","Fj",27833.3333333333,"Toyota",2013,3
"1433","Fj Cruiser",18235.5755395683,"Toyota",2007,139
"1434","Fj Cruiser 4 × 4",18900,"Toyota",2011,1
"1435","Fj Cruiser 4wd",15074.8333333333,"Toyota",2007,6
"1436","Fj Cruiser 4wd 5-Speed Automatic",23900,"Toyota",2007,1
"1437","Fj Cruiser 4wd 6-Speed Automatic",15998,"Toyota",2008,1
"1438","Fj Cruiser 4x4",19808.21875,"Toyota",2007,32
"1439","Fj Cruiser 4x4 Gas Suv",39999,"Toyota",2013,9
"1440","Fj Cruiser Base",20727.6666666667,"Toyota",2014,3
"1441","Fj Cruiser Off Road Pkg W",29900,"Toyota",2014,3
"1442","Fj Cruiser S",9600,"Toyota",2007,9
"1443","Fj Cruiser Sport Utility",22990,"Toyota",2010,1
"1444","Fj Cruiser Sr Trail Teams",37665.6666666667,"Toyota",2012,3
"1445","Fj Crusier",10900,"Toyota",2007,1
"1446","Fj40",40950,"Toyota",1982,2
"1447","Fj40 Landcruiser",39000,"Toyota",1975,1
"1448","Fj55 Landcruiser",17995,"Toyota",1970,1
"1449","Foester Sport 5spd New Head Gaskets And Timing Belt",6400,"Subaru",2007,1
"1450","Forerunner",16000,"Toyota",2012,1
"1451","Forested",7300,"Subaru",2010,1
"1452","Forester",11484.8132464712,"Subaru",2019,921
"1453","Forester ""Limited Awd""",16498,"Subaru",2017,2
"1454","Forester (Natl)",5454.42857142857,"Subaru",2004,7
"1455","Forester 2,5i Premium",27999,"Subaru",2019,1
"1456","Forester 2.0xt Premium",17790,"Subaru",2014,2
"1457","Forester 2.0xt Touring",16084.875,"Subaru",2015,8
"1458","Forester 2.0xt Touring Aw",19995,"Subaru",2015,1
"1459","Forester 2.5",10197.4,"Subaru",2001,5
"1460","Forester 2.5 Premium",9500,"Subaru",2010,1
"1461","Forester 2.5 X",7192.3,"Subaru",2009,10
"1462","Forester 2.5 X Awd",7495,"Subaru",2009,1
"1463","Forester 2.5 X Limited",8868.75,"Subaru",2010,4
"1464","Forester 2.5 X Premium",6995,"Subaru",2009,1
"1465","Forester 2.5 X Premium,",9500,"Subaru",2009,12
"1466","Forester 2.5 Xs",4366,"Subaru",2004,3
"1467","Forester 2.5 Xt Dohc",8500,"Subaru",2012,1
"1468","Forester 2.5i",16455.7272727273,"Subaru",2017,22
"1469","Forester 2.5i Awd",19745,"Subaru",2017,1
"1470","Forester 2.5i Cvt",18914,"Subaru",2018,1
"1471","Forester 2.5i Limited",12953.037037037,"Subaru",2015,27
"1472","Forester 2.5i Premium",13653.512195122,"Subaru",2014,82
"1473","Forester 2.5i Premium Awd",16569.0909090909,"Subaru",2017,11
"1474","Forester 2.5i Premium Cvt",13059.75,"Subaru",2014,4
"1475","Forester 2.5i Premium Sp",244,"Subaru",2016,1
"1476","Forester 2.5i Sport",18590,"Subaru",2017,5
"1477","Forester 2.5i Touring",14749.7272727273,"Subaru",2014,11
"1478","Forester 2.5i Touring Awd",16182.5,"Subaru",2016,8
"1479","Forester 2.5l X",8300,"Subaru",2012,2
"1480","Forester 2.5x",6244.71428571429,"Subaru",2003,35
"1481","Forester 2.5x Awd",6741.42857142857,"Subaru",2005,7
"1482","Forester 2.5x Limited",8100,"Subaru",2010,2
"1483","Forester 2.5x Limited Awd",9510,"Subaru",2009,5
"1484","Forester 2.5x Ll Bean",5792.5,"Subaru",2009,2
"1485","Forester 2.5x Premium",9276.14285714286,"Subaru",2010,42
"1486","Forester 2.5x Premium-Awd",10995,"Subaru",2012,1
"1487","Forester 2.5x Premium 4-Speed Automatic",6249,"Subaru",2011,4
"1488","Forester 2.5x Premium Awd",9181.375,"Subaru",2012,8
"1489","Forester 2.5x Premium Cvt",8499,"Subaru",2013,2
"1490","Forester 2.5x Sport",14990,"Subaru",2011,1
"1491","Forester 2.5x Sport Utility 4d",11995,"Subaru",2010,2
"1492","Forester 2.5x Touring",10500,"Subaru",2012,1
"1493","Forester 2.5xs",3561.25,"Subaru",2005,4
"1494","Forester 2.5xs 4-Speed Automatic",8498,"Subaru",2010,4
"1495","Forester 2.5xt",10950,"Subaru",2010,2
"1496","Forester 2000",5500,"Subaru",2000,1
"1497","Forester 4d Sport",6250,"Subaru",2006,1
"1498","Forester 4dr Auto 2.5i L",206,"Subaru",2014,1
"1499","Forester Awd",8073.40909090909,"Subaru",2007,22
"1500","Forester Awd 2.5 Premium",19995,"Subaru",2017,1
"1501","Forester Awd 2.5i Limited",11249.5,"Subaru",2015,2
"1502","Forester Awd Gas Suv Auto",26999,"Subaru",2019,1
"1503","Forester Awd Navi / Heated Seats / Panoramic Roof / 1-Owner",13990,"Subaru",2012,1
"1504","Forester Awd Premium",12995,"Subaru",2015,2
"1505","Forester Black Edition",11900,"Subaru",2017,1
"1506","Forester L",1829.66666666667,"Subaru",1998,3
"1507","Forester Limited",13153.6111111111,"Subaru",2018,18
"1508","Forester Limited Awd",13961.3333333333,"Subaru",2010,3
"1509","Forester Ll Bean",3349.5,"Subaru",2007,2
"1510","Forester Ll Bean Edition",5250,"Subaru",2005,2
"1511","Forester Natl",3995,"Subaru",2004,1
"1512","Forester Premium",13712.5185185185,"Subaru",2009,27
"1513","Forester Premium Awd",14096,"Subaru",2013,11
"1514","Forester Premium Awd Gas",27999,"Subaru",2019,1
"1515","Forester Premium Pkg Awd",12995,"Subaru",2015,1
"1516","Forester Premium Sport",429.5,"Subaru",2019,2
"1517","Forester Premium Touring",31900,"Subaru",2019,1
"1518","Forester Premum",8995,"Subaru",2012,2
"1519","Forester S",3664.66666666667,"Subaru",2001,3
"1520","Forester Sport",16963.6666666667,"Subaru",2016,3
"1521","Forester Touring",21992.5,"Subaru",2017,14
"1522","Forester Touring Automatic",29961,"Subaru",2017,1
"1523","Forester Touring, Amazin",25115,"Subaru",2019,1
"1524","Forester X",5869.54545454545,"Subaru",2006,11
"1525","Forester X Limited",6000,"Subaru",2009,1
"1526","Forester X Limited Sport Utility 4d",9995,"Subaru",2009,2
"1527","Forester X New Head Gaskets & Timing Belt",6400,"Subaru",2006,1
"1528","Forester X Premium",5200,"Subaru",2012,3
"1529","Forester X Premium Awd",9195,"Subaru",2011,3
"1530","Forester X Sport Utility 4d",9495,"Subaru",2009,2
"1531","Forester Xs",3799.5,"Subaru",2004,2
"1532","Forester Xs Ll Bean",6400,"Subaru",2005,1
"1533","Forester Xs2.5",7500,"Subaru",2010,1
"1534","Forester Xt",10333,"Subaru",2009,10
"1535","Forester Xt Awd",15800,"Subaru",2015,1
"1536","Forester Xt Limited",10830,"Subaru",2009,3
"1537","Forester Xt Touring",23995,"Subaru",2017,2
"1538","Forester Xt Turbo",3800,"Subaru",2005,1
"1539","Forestesr Premium 2.5i",6991,"Subaru",2008,2
"1540","Forestor",8500,"Subaru",2010,1
"1541","Forntier Sv",11450,"Nissan",2016,1
"1542","Forrester",5125,"Subaru",2015,4
"1543","Forrester X",3495,"Subaru",2006,1
"1544","Forster Limited Awd",16000,"Subaru",2016,1
"1545","Four Runner",10300,"Toyota",1997,3
"1546","Frontier",14255.7620320856,"Nissan",2019,374
"1547","Frontier 2008 Se",11500,"Nissan",2008,1
"1548","Frontier 2018",20800,"Nissan",2018,1
"1549","Frontier 2wd",6250.375,"Nissan",2002,8
"1550","Frontier 2x4",3700,"Nissan",2005,1
"1551","Frontier 4x4",6475.66666666667,"Nissan",2002,15
"1552","Frontier Crew Cab",15833.2272727273,"Nissan",2007,44
"1553","Frontier Crew Cab 4x2 Sl Auto *Ltd Avail*",23999,"Nissan",2019,1
"1554","Frontier Crew Cab 4x4",6850,"Nissan",2002,2
"1555","Frontier Crew Cab 4x4 Sl Auto *Ltd Avail*",25999,"Nissan",2019,1
"1556","Frontier Crew Cab 4x4 Sv",19500,"Nissan",2014,1
"1557","Frontier Crew Cab 4x4 Sv Auto *Ltd Avail*",25593,"Nissan",2019,1
"1558","Frontier Crew Cab Desert",21594.5,"Nissan",2018,2
"1559","Frontier Crew Cab Le",9999,"Nissan",2005,1
"1560","Frontier Crew Cab Pro-4x",29325,"Nissan",2014,3
"1561","Frontier Crew Cab S",24890,"Nissan",2017,8
"1562","Frontier Crew Cab Sl",30218.5714285714,"Nissan",2019,7
"1563","Frontier Crew Cab Sv",27052.5294117647,"Nissan",2017,68
"1564","Frontier Crew Cab Sv 4x4",17916,"Nissan",2015,3
"1565","Frontier Crew Cab Xe",6599.5,"Nissan",2002,2
"1566","Frontier Crew Cab Xe 4d",7995,"Nissan",2000,2
"1567","Frontier Desert Runner",6000,"Nissan",2000,1
"1568","Frontier Ex",7995,"Nissan",2004,1
"1569","Frontier Kin",6974,"Nissan",2012,3
"1570","Frontier King Cab",7718,"Nissan",2015,13
"1571","Frontier King Cab 4wd V6",14995,"Nissan",2011,1
"1572","Frontier King Cab S",19439,"Nissan",2019,4
"1573","Frontier King Cab Se",11577,"Nissan",2007,1
"1574","Frontier King Cab Sv",19734.6666666667,"Nissan",2016,15
"1575","Frontier Le",8700,"Nissan",2006,1
"1576","Frontier Le Crew Cab 4wd",10995,"Nissan",2010,1
"1577","Frontier Le Crewcab",6990,"Nissan",2005,1
"1578","Frontier Nismo",6895,"Nissan",2005,1
"1579","Frontier Nismo Off Road",4300,"Nissan",2006,1
"1580","Frontier Pickup 2wd V6",19900,"Nissan",2018,1
"1581","Frontier Pro-4x",19960.8,"Nissan",2011,5
"1582","Frontier Pro-4x Crew Cab 4wd 5-Speed Automatic",15950,"Nissan",2010,1
