"","Region","Price","Year","Manufacturer","Model","Condition","Cylinders","Fuel","Odometer","Transmission","Drive","Size","Type","Paint_color","State","Lat","Long","JDM"
"926","Eastern Nc",21800,2015,"Jeep","Grand Cherokee","Excellent","6 cylinders","Gas",118381,"Automatic","4WD","Mid-Size","Suv","Silver","NC",36.1038,-78.2924,"Non-JDM"
"927","Grand Rapids",13997,2014,"Ford","Explorer","Good","4 cylinders","Gas",70769,"Automatic","FWD",NA,"Suv","Blue","MI",42.6362,-85.2857,"Non-JDM"
"928","Wichita",21995,2010,"Ford","F-250",NA,NA,"Gas",138971,"Automatic","4WD",NA,"Truck",NA,"KS",37.664,-97.4722,"Non-JDM"
"929","Indianapolis",10900,2014,"Honda","Civic","Good","4 cylinders","Gas",108753,"Automatic","FWD",NA,"Sedan","Silver","IN",40.2834,-86.0209,"JDM"
"930","Saginaw-Midland-Baycity",12900,1996,"Ford","Mustang","Excellent","8 cylinders","Gas",102000,"Manual","RWD","Mid-Size","Convertible","Black","MI",43.6088,-83.953,"Non-JDM"
"931","Grand Rapids",15995,2016,"Chevrolet","Traverse Lt","Like new","6 cylinders","Gas",99545,"Automatic","4WD",NA,NA,NA,"MI",42.9121,-85.6661,"Non-JDM"
"932","Modesto",6999,2005,"Chrysler","Pacifica",NA,NA,"Gas",117373,"Automatic",NA,NA,NA,NA,"CA",37.7741,-120.838,"Non-JDM"
"933","Bellingham",14999,2015,"Honda","Crv Ex-L Awd Gas Suv Auto",NA,NA,"Gas",158508,"Automatic","4WD",NA,"Suv","Black","WA",47.8865,-122.26,"JDM"
"934","Charlotte",198,2015,"Jeep","Cherokee Latitude","Good",NA,"Gas",52655,"Automatic",NA,NA,"Suv","Green","NC",35.6489,-80.493,"Non-JDM"
"935","Toledo",7986,2014,"Ford","Focus",NA,NA,"Gas",114245,NA,NA,"Compact","Sedan","Black","OH",41.7202,-83.4796,"Non-JDM"
"936","Fayetteville",19900,2019,"Toyota","Corolla","Like new","4 cylinders","Gas",864517,"Automatic","FWD","Mid-Size","Sedan","Red","AR",36.1886,-94.1383,"JDM"
"937","Oklahoma City",53816,2017,"Ford","F-250","Excellent","8 cylinders","Diesel",74137,"Automatic","4WD","Full-Size","Pickup","White","OK",35.5335,-97.9591,"Non-JDM"
"938","Knoxville",11987,2013,"Volkswagen","Passat",NA,"4 cylinders","Diesel",59848,"Automatic","FWD","Mid-Size","Sedan","Black","TN",35.8605,-84.1005,"Non-JDM"
"939","Erie",403,2018,"Subaru","Wrx Sedan 4d","Good",NA,"Gas",22571,"Other",NA,NA,"Sedan","Black","PA",33.7865,-84.4454,"JDM"
"940","Salem",41375,2011,"Chevrolet","Silverado 2500 Ltz",NA,"8 cylinders","Diesel",91119,"Automatic","4WD",NA,"Truck",NA,"OR",45.4072,-122.625,"Non-JDM"
"941","Western Maryland",20990,2018,"Chevrolet","Equinox Lt Sport","Good",NA,"Other",31540,"Other",NA,NA,"Other",NA,"MD",33.7792,-84.4118,"Non-JDM"
"942","Kalamazoo",23775,2012,"Jeep","Wrangler Unlimited",NA,"6 cylinders","Gas",118771,"Automatic","4WD",NA,"Suv","Red","MI",42.2837,-85.5317,"Non-JDM"
"943","Syracuse",17995,2017,"KIA","Sorrento Lx","Like new","4 cylinders","Gas",37000,"Automatic","4WD","Full-Size","Suv","Black","NY",43.0938,-76.1636,"Non-JDM"
"944","Billings",24998,2014,"Ram","1500",NA,"6 cylinders","Diesel",79711,"Automatic","4WD",NA,"Truck",NA,"MT",47.7989,-116.742,"Non-JDM"
"945","Central Nj",5900,2008,"Volkswagen","Eos",NA,"4 cylinders","Gas",124065,"Automatic","FWD",NA,"Convertible","Grey","NJ",40.4082,-74.3729,"Non-JDM"
"946","Bloomington",13000,2014,"Ford","Fusion","Excellent","4 cylinders","Gas",63150,"Automatic","4WD","Full-Size","Sedan","Grey","IN",39.1401,-86.5083,"Non-JDM"
"947","Cleveland",5999,2008,"Honda","Accord Lx","Excellent","4 cylinders","Gas",107832,"Automatic","FWD",NA,"Sedan","Blue","OH",41.4189,-81.7141,"JDM"
"948","Missoula",19999,2020,"Mitsubishi","Mirage G4 Es","Excellent","4 cylinders","Gas",2,"Automatic",NA,NA,"Sedan",NA,"MT",47.7177,-117.412,"JDM"
"949","Tucson",8900,2015,"KIA","Forte5 Ex",NA,"4 cylinders","Gas",104276,"Automatic","FWD",NA,"Hatchback","Blue","AZ",32.1949,-110.875,"Non-JDM"
"950","Quad Cities, Ia/Il",9950,2012,"Mini","Cooper S W/6-Speed Manual",NA,NA,"Gas",68559,"Manual",NA,NA,NA,NA,"IL",44.8346,-91.5159,"Non-JDM"
"951","Bemidji",20500,2016,"Ford","Edge",NA,"4 cylinders","Gas",49615,"Automatic","4WD",NA,"Suv","White","MN",46.5902,-95.5747,"Non-JDM"
"952","Pittsburgh",16491,2016,"Honda","Cr-V",NA,"4 cylinders","Gas",98500,"Automatic",NA,NA,"Suv","Black","PA",42.2008,-79.8332,"JDM"
"953","Washington, Dc",5500,2001,"Toyota","Tacoma",NA,"6 cylinders","Gas",289780,"Automatic","RWD",NA,"Pickup","Red","DC",38.6636,-77.2512,"JDM"
"954","Boston",23999,2011,"Ford","F-250 Sd Lariat Supercab 4wd 6-Speed Automatic",NA,NA,"Gas",89366,"Automatic","4WD",NA,"Pickup","White","MA",42.7188,-71.3201,"Non-JDM"
"955","Kennewick-Pasco-Richland",16761,2019,"Mitsubishi","Eclipse S 4x4 Gas Suv",NA,NA,"Gas",32652,"Automatic","4WD",NA,"Suv","Blue","WA",46.2348,-119.128,"JDM"
"956","El Paso",15995,2019,"Volkswagen","Jetta","Like new","4 cylinders","Gas",25000,"Automatic","FWD",NA,"Sedan",NA,"TX",31.7814,-106.361,"Non-JDM"
"957","Daytona Beach",28999,2018,"Lexus","Is","Excellent",NA,"Gas",42772,"Other",NA,NA,"Sedan","White","FL",28.4661,-81.3964,"JDM"
"958","Orlando",10500,2016,"Toyota","Corolla",NA,NA,"Gas",117795,"Automatic","FWD",NA,"Sedan","Black","FL",28.411,-81.4035,"JDM"
"959","St Louis, Mo",22970,2016,"Chevrolet","Traverse",NA,NA,"Gas",70743,"Automatic","FWD",NA,NA,NA,"IL",38.5054,-90.4511,"Non-JDM"
"960","Fresno / Madera",16991,2019,"Nissan","Altima",NA,"4 cylinders","Gas",37230,"Automatic","FWD",NA,"Sedan","Blue","CA",36.8369,-119.717,"JDM"
"961","Asheville",56991,2018,"Ram","3500 Chassis","Like new",NA,"Gas",10493,"Automatic",NA,NA,"Truck","White","NC",35.181,-83.3885,"Non-JDM"
"962","San Diego",2750,2005,"Ford","Focus","Like new","4 cylinders","Gas",113000,"Manual","FWD","Compact","Truck","White","CA",32.5753,-117.071,"Non-JDM"
"963","Hudson Valley",6800,2013,"Nissan","Rogue S","Good","4 cylinders","Gas",122000,"Automatic","4WD","Full-Size","Suv","Black","NY",41.3286,-74.1885,"JDM"
"964","Detroit Metro",3000,2003,"Nissan","Sentra","Excellent","4 cylinders","Gas",169592,"Automatic","FWD",NA,"Sedan","Red","MI",42.6603,-83.4054,"JDM"
"965","Winston-Salem",12931,2016,"Chevrolet","Cruze 1lt","Good","4 cylinders","Gas",49692,"Automatic","FWD","Mid-Size","Coupe","Black","NC",36.3298,-79.6475,"Non-JDM"
"966","Wichita Falls",21900,2017,"Subaru","Forester",NA,"4 cylinders","Gas",22676,"Automatic","4WD",NA,NA,"Silver","TX",32.709,-97.1534,"JDM"
"967","Detroit Metro",9999,2015,"Chrysler","200",NA,NA,"Gas",137915,"Automatic","FWD",NA,"Sedan","White","MI",42.4188,-83.0787,"Non-JDM"
"968","Fort Collins / North Co",16900,2013,"Mercedes-benz","Benz C300","Excellent","6 cylinders","Gas",63048,"Automatic","4WD","Mid-Size","Sedan","Blue","CO",40.5384,-105.055,"Non-JDM"
"969","San Antonio",15990,2015,"Jeep","Renegade Limited Sport","Good",NA,"Gas",66017,"Other","4WD",NA,"Suv","Black","TX",29.45,-98.5,"Non-JDM"
"970","Minneapolis / St Paul",13975,2017,"Volkswagen","Passat",NA,NA,"Gas",73493,"Automatic","FWD",NA,NA,"Black","MN",44.959,-93.3472,"Non-JDM"
"971","Bellingham",27999,2013,"Ram","2500",NA,"6 cylinders","Diesel",126975,"Automatic","4WD",NA,"Truck",NA,"WA",48.755,-122.466,"Non-JDM"
"972","Wichita",8995,2011,"Dodge","Nitro",NA,NA,"Gas",125346,"Automatic","RWD",NA,"Suv",NA,"KS",37.664,-97.4722,"Non-JDM"
"973","Cincinnati",29500,1999,"Volkswagen","Eurovan Camper","Good","6 cylinders","Gas",100500,"Automatic","FWD","Full-Size","Mini-Van","White","OH",39.2463,-84.3019,"Non-JDM"
"974","Huntsville / Decatur",12000,2007,"Mazda","Mx-5 Miata","Like new","4 cylinders","Gas",20000,"Manual",NA,NA,"Convertible","Grey","AL",34.8411,-86.1597,"JDM"
"975","Oklahoma City",2900,2005,"Dodge","Neon",NA,"4 cylinders","Gas",159000,"Automatic","FWD","Compact","Sedan","Blue","OK",35.6617,-97.1956,"Non-JDM"
"976","North Jersey",2600,2003,"Mitsubishi","Lancer Es Fwd Gas",NA,NA,"Gas",149535,"Automatic",NA,NA,NA,"Red","NJ",40.9276,-74.7211,"JDM"
"977","Pensacola",11995,2014,"Jeep","Cherokee","Good","4 cylinders","Gas",102498,"Automatic","FWD","Full-Size","Suv","White","FL",30.4129,-87.3092,"Non-JDM"
"978","Albany",13995,2011,"Rover","Lr4 Hse","Excellent","8 cylinders","Gas",129884,"Automatic","4WD","Full-Size","Suv","White","NY",41.9099,-72.6029,"Non-JDM"
"979","Eugene",15990,2011,"Ram",NA,NA,NA,"Gas",150728,"Automatic","4WD",NA,"Pickup",NA,"OR",44.0832,-123.153,"Non-JDM"
"980","Orlando",15905,2014,"Toyota","Rav4",NA,"4 cylinders","Gas",42122,"Automatic","FWD","Mid-Size","Suv","Silver","FL",28.6101,-81.2983,"JDM"
"981","Washington, Dc",1700,1996,"Honda","Accord","Good","4 cylinders","Gas",126000,"Automatic","RWD",NA,NA,"Silver","DC",38.745,-77.487,"JDM"
"982","Grand Rapids",20990,2017,"Ford","Taurus",NA,"6 cylinders","Gas",25976,"Automatic","FWD",NA,"Sedan","Black","MI",42.4491,-85.6695,"Non-JDM"
"983","Birmingham",30990,2017,"Jeep","Grand Cherokee",NA,"6 cylinders",NA,37054,"Automatic","4WD",NA,"Suv","Black","AL",33.6696,-86.8176,"Non-JDM"
"984","Baltimore",15991,2019,"Toyota","Corolla",NA,"4 cylinders","Gas",25398,"Automatic","FWD","Mid-Size","Sedan","Red","MD",39.4924,-76.6744,"JDM"
"985","Louisville",72500,2017,"GMC","Savana G2500",NA,NA,"Gas",12784,"Automatic",NA,NA,NA,NA,"KY",32.8653,-96.9905,"Non-JDM"
"986","Grand Rapids",17500,2016,"Honda","Pilot Ex-L","Good",NA,"Gas",123002,"Automatic",NA,NA,NA,"Blue","MI",42.9859,-85.071,"JDM"
"987","Birmingham",11500,2006,"Lexus","Gx 470","Good","8 cylinders","Gas",179516,"Automatic","4WD","Full-Size","Suv","Silver","AL",34.5866,-83.7612,"JDM"
"988","Logan",12950,2019,"Chevrolet","Malibu Lt Turbo",NA,"4 cylinders","Gas",22172,"Automatic","FWD",NA,"Sedan","Grey","UT",40.7465,-111.939,"Non-JDM"
"989","Gainesville",4500,2001,"Acura","3.2 Cl","Excellent","6 cylinders","Gas",123345,"Automatic","FWD","Mid-Size","Coupe","White","FL",29.6256,-82.3564,"JDM"
"990","Indianapolis",24750,2019,"Ford","F-150 Xl","Excellent","8 cylinders","Gas",10500,"Automatic","RWD","Full-Size","Truck","White","IN",39.6893,-86.3919,"Non-JDM"
"991","Daytona Beach",6499,2013,"Ford","Focus Se","Good","4 cylinders","Gas",67247,"Automatic","FWD","Mid-Size","Hatchback","Grey","FL",29.4629,-81.256,"Non-JDM"
"992","Akron / Canton",13995,2015,"KIA","Optima Lx","Excellent",NA,"Gas",105113,"Automatic","FWD","Mid-Size","Sedan","White","OH",41.1017,-81.457,"Non-JDM"
"993","Treasure Coast",2995,2002,"Chrysler","Sebring","Excellent","4 cylinders","Gas",88000,"Automatic","FWD","Mid-Size","Sedan","Silver","FL",27.5008,-80.36,"Non-JDM"
"994","Maine",29995,2017,"GMC","Sierra 1500","Excellent","8 cylinders","Gas",62000,"Automatic","4WD","Full-Size","Pickup","White","ME",42.7152,-71.1154,"Non-JDM"
"995","Bemidji",13990,2012,"Chevrolet","Silverado 4x4","Excellent","8 cylinders","Gas",83342,"Automatic","4WD","Full-Size","Pickup","White","MN",47.9272,-97.0672,"Non-JDM"
"996","Spokane / Coeur D'alene",25498,2017,"Jeep","Cherokee Overland",NA,"6 cylinders","Gas",42849,"Automatic","4WD",NA,"Suv",NA,"ID",47.7989,-116.742,"Non-JDM"
"997","Brownsville",7900,2011,"Honda","Crv Ex-L","Excellent","4 cylinders","Gas",142000,"Automatic","FWD","Mid-Size","Suv","Green","TX",26.1951,-97.689,"JDM"
"998","Eastern Nc",2900,2004,"Mitsubishi","Outlander","Good","4 cylinders","Gas",192102,"Automatic","4WD","Full-Size","Hatchback","Red","NC",35.8983,-77.5421,"JDM"
"999","Kenosha-Racine",2999,2004,"Dodge","Durango","Like new","8 cylinders","Gas",188517,"Automatic","4WD",NA,"Suv",NA,"WI",43.1188,-87.9478,"Non-JDM"
"1000","Ft Myers / Sw Florida",21900,2014,"Volkswagen","Eos","Excellent","4 cylinders","Gas",20361,"Automatic","FWD","Sub-Compact","Convertible","White","FL",26.1468,-81.7667,"Non-JDM"
"1001","Space Coast",26995,2018,"Subaru","Outback Limited 3.6r","Excellent","6 cylinders","Gas",39915,"Automatic","4WD","Mid-Size","Wagon","White","FL",28.0982,-80.6728,"JDM"
"1002","Lubbock",6000,2007,"Pontiac","G6 Gt","Excellent","6 cylinders","Gas",81651,"Automatic","FWD","Mid-Size","Coupe","Black","TX",33.5637,-101.901,"Non-JDM"
"1003","Las Vegas",39999,2019,"Chevrolet","Suburban",NA,NA,"Gas",41681,"Automatic","4WD",NA,"Suv","White","NV",36.1225,-115.19,"Non-JDM"
"1004","Palm Springs",14000,2016,"BMW","I3 Hatchback 4d","Excellent","other","Electric",36800,"Automatic","RWD","Compact","Hatchback","White","CA",33.8098,-116.466,"Non-JDM"
"1005","Madison",4995,2008,"Hyundai","Sonata","Good","4 cylinders","Gas",164317,"Automatic","FWD",NA,NA,NA,"WI",43.0231,-88.8101,"Non-JDM"
"1006","Albany",500,2000,"Audi","A4",NA,NA,"Gas",1400000,"Manual",NA,NA,NA,NA,"NY",42.247,-73.7552,"Non-JDM"
"1007","Syracuse",6400,2007,"Toyota","Solara Se","Excellent","4 cylinders","Gas",70000,"Automatic","FWD","Mid-Size","Coupe","Silver","NY",43.191,-76.2936,"JDM"
"1008","San Luis Obispo",13777,2013,"Nissan","Rogue","Excellent",NA,"Gas",67130,"Automatic","FWD",NA,"Suv",NA,"CA",35.2834,-120.658,"JDM"
"1009","Yuba-Sutter",13995,2000,"Mercedes-benz","Sl500","Excellent","8 cylinders","Gas",48250,"Automatic",NA,NA,"Convertible",NA,"CA",38.615,-121.272,"Non-JDM"
"1010","Glens Falls",6450,2015,"Mitsubishi","Mirage","Excellent","3 cylinders","Gas",75853,"Manual","FWD","Compact","Hatchback","Black","NY",43.5817,-73.2648,"JDM"
"1011","Richmond",6900,2011,"Hyundai","Santa Fe Limited","Excellent","6 cylinders","Gas",152000,"Automatic","FWD",NA,"Suv",NA,"VA",37.7284,-77.5544,"Non-JDM"
"1012","Duluth / Superior",2200,2003,"Chevrolet","Silverado",NA,NA,"Gas",217000,"Automatic",NA,NA,NA,NA,"MN",46.8349,-92.2074,"Non-JDM"
"1013","Stockton",41000,2018,"Chevrolet","Suburban","Like new","8 cylinders","Gas",48000,"Automatic","4WD",NA,"Suv","Grey","CA",38.042,-121.487,"Non-JDM"
"1014","Corpus Christi",26827,2018,"Nissan","Murano",NA,"6 cylinders","Gas",32621,"Automatic","FWD","Mid-Size","Suv","Black","TX",27.7036,-97.345,"JDM"
"1015","Northern Wi",7995,2011,"Ford","Escape Xlt Awd",NA,"6 cylinders","Gas",136000,"Automatic","4WD",NA,NA,NA,"WI",45.0042,-90.3596,"Non-JDM"
"1016","Greenville / Upstate",15950,2011,"Chevrolet","Tahoe",NA,NA,"Gas",159239,"Automatic",NA,NA,"Other","Grey","SC",34.9176,-82.1123,"Non-JDM"
"1017","Redding",47999,2019,"Ram","2500 Big Horn",NA,"8 cylinders","Gas",6556,"Automatic","4WD",NA,"Pickup","White","CA",40.5711,-122.361,"Non-JDM"
"1018","Kalamazoo",5495,2011,"Ford","Escape",NA,NA,"Gas",168588,"Automatic",NA,NA,NA,NA,"MI",43.1824,-84.1122,"Non-JDM"
"1019","Erie",18990,2018,"Ford","Escape Se Sport Utility 4d","Good",NA,"Gas",10446,"Automatic","4WD",NA,"Suv","White","PA",33.7792,-84.4118,"Non-JDM"
"1020","North Jersey",6995,2011,"Chevrolet","Cruze",NA,"4 cylinders","Gas",74212,"Automatic","FWD",NA,"Sedan","Silver","NJ",40.9252,-74.1781,"Non-JDM"
"1021","New Haven",17990,2017,"Ford","Escape Se Sport Utility 4d","Good",NA,"Other",17558,"Automatic","4WD",NA,"Other",NA,"CT",41.76,-72.68,"Non-JDM"
"1022","Columbus",7995,2016,"Dodge","Journey","Excellent","4 cylinders","Gas",115489,"Automatic","FWD",NA,"Suv","Grey","OH",40.0641,-82.9981,"Non-JDM"
"1023","Central Nj",1500,2007,"Buick","Lucerne","Fair","6 cylinders","Gas",117100,"Automatic",NA,NA,NA,"Silver","NJ",40.6354,-74.2556,"Non-JDM"
"1024","North Jersey",2600,2002,"Jeep","Liberty",NA,"6 cylinders","Gas",191522,"Automatic","4WD",NA,"Suv","Green","NJ",40.1816,-74.6634,"Non-JDM"
"1025","Charlotte",23495,2018,"Honda","Pilot",NA,"6 cylinders","Gas",58580,"Automatic","FWD",NA,"Suv","White","NC",34.9409,-80.9693,"JDM"
"1026","Kennewick-Pasco-Richland",31999,2015,"Ram","1500 Sport 4x4 1/2 Ton",NA,NA,"Gas",23725,"Automatic","4WD",NA,"Truck","Blue","WA",46.2348,-119.128,"Non-JDM"
"1027","North Jersey",36895,2016,"BMW","750i",NA,NA,"Gas",38251,"Automatic",NA,"Full-Size","Sedan","Black","NJ",40.8765,-74.0721,"Non-JDM"
"1028","Topeka",4300,2010,"Saturn","Outlook","Good","6 cylinders","Gas",161553,"Automatic","FWD","Full-Size","Suv","Silver","KS",38.9919,-95.6681,"Non-JDM"
"1029","Bozeman",2100,2003,"Audi","A6 3.0l",NA,"6 cylinders","Gas",114108,"Automatic","4WD",NA,"Sedan",NA,"MT",47.7989,-116.742,"Non-JDM"
"1030","New Hampshire",25995,2014,"GMC","Sierra",NA,NA,"Gas",120364,"Automatic","4WD",NA,"Pickup",NA,"NH",42.963,-71.0639,"Non-JDM"
"1031","Dubuque",39995,2007,"Ford","Mustang",NA,"8 cylinders","Gas",6333,"Manual","RWD",NA,"Other","Black","IA",42.4778,-92.3661,"Non-JDM"
"1032","Northern Panhandle",1200,1990,"Chrysler","Lebaron","Good",NA,"Gas",77000,"Automatic","FWD",NA,"Sedan","Brown","OH",40.3524,-80.6781,"Non-JDM"
"1033","Kansas City, Mo",12450,2016,"Chevrolet","Cruze Limited",NA,"4 cylinders","Gas",24894,"Automatic","FWD",NA,"Sedan","Black","KS",38.6716,-94.3665,"Non-JDM"
"1034","El Paso",24995,2016,"Ram","1500","Excellent","8 cylinders","Gas",132858,"Automatic","RWD","Full-Size","Pickup","Grey","TX",31.7321,-106.366,"Non-JDM"
"1035","Charlottesville",6500,2009,"Toyota","Camry Hybrid","Excellent","4 cylinders","Gas",155446,"Automatic","FWD","Mid-Size","Sedan","Red","VA",38.0295,-78.8061,"JDM"
"1036","Asheville",16990,2016,"Chevrolet","Silverado 1500",NA,NA,"Gas",99462,"Automatic",NA,NA,"Other","White","NC",35.9233,-84.0607,"Non-JDM"
"1037","Fresno / Madera",9999,2011,"Toyota","Prius",NA,NA,"Hybrid",95096,"Automatic","FWD",NA,"Sedan",NA,"CA",38.5878,-121.53,"JDM"
"1038","Moses Lake",37999,2020,"Jeep","Grand Cherokee Laredo 4x4",NA,NA,"Gas",18042,"Automatic","4WD",NA,"Suv","Black","WA",46.2348,-119.128,"Non-JDM"
"1039","Lancaster",2500,2007,"Honda","Odyssey",NA,NA,"Gas",225862,"Automatic",NA,NA,NA,NA,"PA",40.3789,-76.3143,"JDM"
"1040","Rhode Island",3455,2006,"Ford","Fusion Sel","Good","6 cylinders","Gas",117230,"Automatic","FWD","Mid-Size","Sedan","Red","RI",41.6498,-71.474,"Non-JDM"
"1041","Reno / Tahoe",6500,2006,"GMC","Yukon","Good","8 cylinders","Gas",170000,"Automatic","4WD","Full-Size","Suv","Grey","CA",39.2025,-119.753,"Non-JDM"
"1042","Modesto",21995,2016,"Ford","Transit","Good","6 cylinders","Gas",124608,"Automatic","RWD","Full-Size","Van","White","CA",37.6371,-122.055,"Non-JDM"
"1043","Inland Empire",5000,2004,"Mini","Cooper S R53","Excellent","4 cylinders","Gas",128,"Manual","FWD","Compact","Hatchback","Grey","CA",34.5432,-117.334,"Non-JDM"
"1044","Birmingham",5480,2008,"Jeep","Patriot",NA,"4 cylinders","Gas",172640,"Manual","FWD",NA,"Suv","Red","AL",33.2098,-86.7835,"Non-JDM"
"1045","Stockton",6988,2012,"Chevrolet","Cruze","Excellent",NA,"Gas",67487,"Automatic","FWD",NA,"Sedan","Blue","CA",38.5703,-121.522,"Non-JDM"
"1046","East Oregon",45995,2018,"Ford","F-150",NA,"6 cylinders","Gas",26812,"Automatic","4WD",NA,"Truck","White","OR",45.5098,-122.967,"Non-JDM"
"1047","Yakima",39999,2019,"Toyota","Tacoma Sr5 4x4 1/4 Ton",NA,NA,"Gas",13515,"Automatic","4WD",NA,"Truck","Grey","WA",46.2348,-119.128,"JDM"
"1048","South Jersey",10399,2015,"Volkswagen","Passat 1.8t S Pzev",NA,"4 cylinders","Gas",85199,"Automatic","FWD",NA,"Sedan","Blue","NJ",39.9999,-74.2228,"Non-JDM"
"1049","Boise",7995,2018,"Mitsubishi","Mirage G4",NA,"3 cylinders","Gas",48631,"Manual","FWD",NA,"Sedan","Silver","ID",43.5937,-116.536,"JDM"
"1050","Orange County",11997,2015,"Ford","Cmax Energi","Like new",NA,"Hybrid",39000,"Automatic",NA,NA,"Sedan","Grey","CA",33.7882,-117.833,"Non-JDM"
"1051","Gainesville",5295,2007,"Chevrolet","Colorado","Excellent","4 cylinders","Gas",200360,"Automatic","RWD","Full-Size","Pickup",NA,"FL",29.7248,-82.0471,"Non-JDM"
"1052","Milwaukee",23980,2017,"GMC","Acadia Limited","Excellent",NA,"Gas",62480,"Automatic","4WD",NA,"Suv",NA,"WI",42.3642,-87.8648,"Non-JDM"
"1053","Charlottesville",7795,2010,"Honda","Pilot",NA,NA,"Gas",186097,"Automatic","FWD",NA,"Suv","White","VA",38.7627,-77.4618,"JDM"
"1054","Western Slope",18495,2016,"Ford","Escape Titanium","Excellent","4 cylinders","Gas",50012,"Automatic","4WD","Full-Size","Suv","White","CO",38.4965,-107.897,"Non-JDM"
"1055","Asheville",6993,2007,"Chevrolet","Impala","Like new",NA,"Gas",77066,"Automatic","FWD",NA,"Sedan",NA,"NC",35.181,-83.3885,"Non-JDM"
"1056","Treasure Coast",5800,2010,"KIA","Forte Koup","Excellent","4 cylinders","Gas",96000,"Automatic",NA,NA,"Coupe",NA,"FL",27.3801,-80.3764,"Non-JDM"
"1057","Indianapolis",4500,2004,"Audi","A4","Good","4 cylinders","Gas",88000,"Automatic",NA,"Mid-Size","Convertible","Blue","IN",40.0484,-86.4611,"Non-JDM"
"1058","Albany",24990,2012,"Ford","Mustang Gt Premium Coupe 2d","Good","8 cylinders","Gas",28613,"Other","RWD",NA,"Coupe","Blue","NY",33.7865,-84.4454,"Non-JDM"
"1059","Ocala",28990,2017,"Lexus","Nx","Excellent","4 cylinders","Gas",35339,"Automatic","FWD","Full-Size","Suv","White","FL",28.027,-82.4599,"JDM"
"1060","Erie",3900,2005,"Ford","Explorer Xlt","Good",NA,"Gas",158000,"Automatic","4WD",NA,NA,NA,"PA",42.1087,-79.9535,"Non-JDM"
"1061","Western Slope",40900,2014,"Toyota","Sienna",NA,"6 cylinders","Gas",24014,"Automatic","FWD",NA,NA,"Grey","CO",39.6744,-104.999,"JDM"
"1062","Port Huron",4995,2004,"Lexus","Es 330","Good","6 cylinders","Gas",177146,"Automatic","FWD",NA,"Sedan","Black","MI",42.4771,-82.9496,"JDM"
"1063","Bellingham",29850,2011,"BMW","M3","Good","8 cylinders","Gas",64729,"Other","RWD",NA,"Sedan",NA,"WA",48.7548,-122.47,"Non-JDM"
"1064","Albuquerque",800,2002,"BMW","525i","Fair","6 cylinders","Gas",2e+05,"Automatic","RWD","Mid-Size","Sedan","Silver","NM",34.8068,-106.544,"Non-JDM"
"1065","Knoxville",20000,2011,"Chevrolet","Silverado 2500hd","Good","8 cylinders","Diesel",185263,"Automatic","4WD",NA,NA,"Red","TN",36.5399,-82.7252,"Non-JDM"
"1066","New York City",175,2018,"Honda","Accord","New","4 cylinders","Gas",11104,"Automatic","FWD","Full-Size","Sedan","Red","NY",43.3024,-74.9977,"JDM"
"1067","Wyoming",19903,2011,"Chevrolet","Silverado 1500","Excellent","8 cylinders","Gas",103651,"Automatic","4WD","Mid-Size","Truck","Grey","WY",42.84,-106.367,"Non-JDM"
"1068","York",29000,2014,"Lexus","Rx 350","Like new","6 cylinders","Gas",62800,"Automatic","4WD","Mid-Size","Suv","White","PA",39.7733,-76.5304,"JDM"
"1069","Las Vegas",21498,2018,"Toyota","C-Hr",NA,"4 cylinders","Gas",4581,"Automatic","FWD","Compact","Wagon","Custom","NV",36.1432,-115.227,"JDM"
"1070","Louisville",5995,2007,"Chevrolet","Impala","Good","6 cylinders","Gas",159387,"Automatic","FWD",NA,"Sedan","Red","KY",38.1381,-85.8432,"Non-JDM"
"1071","Las Vegas",5999,2011,"Ford","Fusion Se","Excellent",NA,"Gas",112687,"Automatic",NA,NA,NA,"Grey","NV",36.1507,-115.107,"Non-JDM"
"1072","Kennewick-Pasco-Richland",7000,2006,"Audi","A3 Quattro","Good","4 cylinders","Gas",89000,"Automatic","FWD","Compact","Hatchback","Black","WA",46.2522,-119.288,"Non-JDM"
"1073","Wausau",20900,2013,"Chevrolet","Express Cargo Van","Good","8 cylinders","Gas",84411,"Automatic",NA,"Mid-Size","Van","Red","WI",45.5534,-94.2318,"Non-JDM"
"1074","Wausau",13830,2017,"Ford","Fusion Hybrid Se","Good","4 cylinders","Gas",58673,"Automatic","FWD","Mid-Size","Sedan","Silver","WI",44.9358,-89.6169,"Non-JDM"
"1075","Wenatchee",37999,2017,"Ford","F150 Xl Stx 4x4 1/2 Ton Gas",NA,NA,"Gas",29033,"Automatic","4WD",NA,"Truck","Blue","WA",46.2348,-119.128,"Non-JDM"
"1076","Springfield",11999,2013,"Ford","Transit Connect Xlt","Excellent","4 cylinders","Gas",90122,"Automatic","FWD","Mid-Size","Mini-Van","White","MO",37.2098,-93.2348,"Non-JDM"
"1077","Wichita Falls",23860,2017,"Lincoln","Mkx",NA,NA,"Gas",71040,"Automatic","FWD",NA,"Suv","Black","TX",35.2235,-97.4841,"Non-JDM"
"1078","Hartford",8000,2004,"Ford","F250","Good","8 cylinders","Gas",180000,"Automatic","4WD","Full-Size","Truck","Blue","CT",41.7059,-72.3585,"Non-JDM"
