"","Region","Price","Year","Manufacturer","Model","Condition","Cylinders","Fuel","Odometer","Transmission","Drive","Size","Type","Paint_color","State","Lat","Long","JDM"
"4039","San Luis Obispo",7995,2006,"Ford","Ranger","Excellent",NA,"Gas",144258,"Automatic","RWD",NA,NA,"Silver","CA",35.1222,-120.626,"Non-JDM"
"4040","Richmond",2000,2013,"Rover","Sport","Excellent","8 cylinders","Gas",162781,"Automatic","4WD",NA,"Suv","White","VA",37.5498,-77.4588,"Non-JDM"
"4041","New Hampshire",1450,2002,"Cadillac","Seville Sls",NA,NA,"Gas",114300,"Automatic",NA,NA,NA,NA,"NH",43.0201,-71.5697,"Non-JDM"
"4042","Stockton",19995,2012,"Chevrolet","Colorado Lt",NA,"5 cylinders","Gas",17947,"Automatic",NA,NA,"Pickup","White","CA",37.797,-121.189,"Non-JDM"
"4043","Des Moines",6995,2013,"Chevrolet","Malibu","Excellent","4 cylinders","Electric",171621,"Automatic","FWD",NA,"Sedan",NA,"IA",41.601,-93.5813,"Non-JDM"
"4044","Sheboygan",5850,2008,"Buick","Enclave","Good","6 cylinders","Gas",183000,"Automatic","FWD","Full-Size","Suv","Brown","WI",44.0242,-88.1827,"Non-JDM"
"4045","Maine",7995,2009,"Ford","Escape",NA,NA,"Gas",106330,"Automatic","4WD",NA,"Suv","Silver","ME",42.963,-71.0639,"Non-JDM"
"4046","Rhode Island",11495,2008,"Lincoln","Navigator 4wd","Excellent","8 cylinders","Gas",101,"Automatic","4WD",NA,"Suv","White","RI",42.728,-71.181,"Non-JDM"
"4047","Mohave County",6500,2001,"Ford","F250 Super Duty","Fair","10 cylinders","Gas",150000,"Automatic","4WD","Full-Size","Truck","White","AZ",35.0052,-114.569,"Non-JDM"
"4048","North Jersey",15495,2017,"Ford","Escape","Excellent","4 cylinders","Gas",80900,"Automatic","4WD",NA,"Wagon","Grey","NJ",41.2649,-74.8883,"Non-JDM"
"4049","Toledo",13965,2008,"Chevrolet","Tahoe",NA,NA,"Gas",158810,"Automatic",NA,NA,"Other",NA,"OH",41.7202,-83.4796,"Non-JDM"
"4050","Space Coast",33999,2017,"Chevrolet","Silverado 1500","Excellent",NA,"Gas",28819,"Other",NA,"Full-Size","Truck","Grey","FL",28.4661,-81.3964,"Non-JDM"
"4051","Florence",17590,2017,"KIA","Sorento Lx Sport Utility 4d","Good",NA,"Gas",28133,"Automatic","FWD",NA,"Other","White","SC",33.7792,-84.4118,"Non-JDM"
"4052","Central Nj",16500,2017,"Jeep","Cherokee Sport 4x4",NA,"4 cylinders",NA,78399,"Automatic","4WD",NA,"Suv","Silver","NJ",40.4687,-74.297,"Non-JDM"
"4053","Erie",322,2018,"Nissan","Maxima Sv Sedan 4d","Good","6 cylinders","Gas",30410,"Automatic","FWD",NA,"Sedan","Silver","PA",33.7865,-84.4454,"JDM"
"4054","Orange County",8995,2011,"Chevrolet","Cruze Ltz","Excellent","4 cylinders","Gas",61425,"Automatic",NA,"Compact","Sedan","Blue","CA",33.811,-117.849,"Non-JDM"
"4055","Western Ky",10999,2007,"GMC","Sierra 1500","Excellent","8 cylinders","Gas",158000,"Automatic","RWD","Full-Size","Pickup","Red","KY",37.7513,-87.1554,"Non-JDM"
"4056","New Hampshire",25988,2019,"Ford","F-150","Like new","8 cylinders","Gas",10775,"Automatic","RWD","Full-Size","Pickup","White","NH",42.8287,-71.1087,"Non-JDM"
"4057","Yuba-Sutter",12999,2013,"Subaru","Outback","Excellent","4 cylinders","Gas",114100,"Automatic","4WD","Mid-Size","Wagon","Blue","CA",38.6089,-121.43,"JDM"
"4058","Myrtle Beach",5600,2011,"Ford","Taurus","Like new","6 cylinders","Gas",183000,"Automatic","4WD","Mid-Size","Sedan","Black","SC",33.6994,-78.9137,"Non-JDM"
"4059","Rochester",10995,2013,"Buick","Lacrosse","Good","6 cylinders","Gas",94586,"Automatic","FWD",NA,"Sedan","Custom","NY",43.1996,-77.6363,"Non-JDM"
